statcode_21,num_votes_wijk_21,gm_code_21,RW_wijk_21,PVV_wijk_21
WK010607,7441,GM0106,0.16624109662679748,0.09178873807283967
WK010608,6467,GM0106,0.13375599195917737,0.06942941085511056
WK010699,1506,GM0106,0.1254980079681275,0.05245683930942895
WK010910,9996,GM0109,0.24289715886354543,0.16486594637855143
WK010911,612,GM0109,0.31699346405228757,0.1781045751633987
WK010920,3446,GM0109,0.20545560069645966,0.1175275681950087
WK010930,2569,GM0109,0.23238614246788633,0.14636045153756325
WK010940,3886,GM0109,0.17781780751415338,0.11194029850746269
WK010950,1966,GM0109,0.13835198372329605,0.06612410986775177
WK011401,1745,GM0114,0.4040114613180516,0.28939828080229224
WK011402,446,GM0114,0.37668161434977576,0.24887892376681614
WK011403,4159,GM0114,0.39697042558307283,0.2904544361625391
WK011404,995,GM0114,0.38090452261306534,0.29547738693467335
WK011405,1187,GM0114,0.36815501263689976,0.2502106149957877
WK011406,2817,GM0114,0.32374866879659214,0.22115725949591764
WK011407,2539,GM0114,0.2548247341473021,0.15793619535250097
WK011408,6500,GM0114,0.3690769230769231,0.26553846153846156
WK011409,1584,GM0114,0.5208333333333334,0.3851010101010101
WK011410,2898,GM0114,0.261559696342305,0.16804692891649414
WK011413,918,GM0114,0.40522875816993464,0.28649237472766886
WK011421,748,GM0114,0.24598930481283424,0.18449197860962566
WK011432,899,GM0114,0.40266963292547275,0.29699666295884314
WK011440,9647,GM0114,0.13029957499740852,0.0982688918834871
WK011441,1695,GM0114,0.17581120943952802,0.10501474926253687
WK011442,2907,GM0114,0.3006535947712418,0.19642242862057105
WK011443,3900,GM0114,0.30974358974358973,0.19897435897435897
WK011444,2965,GM0114,0.2715008431703204,0.15885328836424958
WK011445,588,GM0114,0.30952380952380953,0.20918367346938777
WK011446,4460,GM0114,0.2329596412556054,0.13991031390134528
WK011447,5294,GM0114,0.17907064601435588,0.09652436720816018
WK011448,1205,GM0114,0.183402489626556,0.0987551867219917
WK011449,750,GM0114,0.16266666666666665,0.06933333333333333
WK011450,1752,GM0114,0.3327625570776256,0.23230593607305935
WK011451,935,GM0114,0.18609625668449198,0.09839572192513368
WK011452,1019,GM0114,0.22767419038272815,0.13346418056918546
WK011850,16994,GM0118,0.2657996940096505,0.17158997293162292
WK011851,7898,GM0118,0.1920739427703216,0.10065839453026082
WK011852,496,GM0118,0.22782258064516128,0.12298387096774194
WK011853,1249,GM0118,0.44275420336269017,0.33306645316253003
WK011854,2827,GM0118,0.3724796604174036,0.24266006367173681
WK011855,1160,GM0118,0.2672413793103448,0.14396551724137932
WK011856,812,GM0118,0.31773399014778325,0.1921182266009852
WK011857,543,GM0118,0.2136279926335175,0.1270718232044199
WK011858,441,GM0118,0.3832199546485261,0.2290249433106576
WK011859,392,GM0118,0.31887755102040816,0.23469387755102042
WK011860,1091,GM0118,0.1924839596700275,0.11732355637030248
WK011900,7032,GM0119,0.1427758816837315,0.08930602957906712
WK011902,1505,GM0119,0.226578073089701,0.14019933554817277
WK011903,4908,GM0119,0.18418907905460472,0.09841075794621026
WK011905,482,GM0119,0.26348547717842324,0.13900414937759337
WK011906,3460,GM0119,0.14797687861271677,0.07658959537572255
WK011907,624,GM0119,0.16506410256410256,0.09294871794871795
WK011909,663,GM0119,0.28054298642533937,0.15987933634992457
WK011911,694,GM0119,0.14553314121037464,0.08357348703170028
WK011912,2359,GM0119,0.17804154302670624,0.10555320050869012
WK014110,3276,GM0141,0.2591575091575092,0.15903540903540903
WK014111,2653,GM0141,0.3584621183565775,0.2423671315491896
WK014112,2870,GM0141,0.20871080139372822,0.12334494773519164
WK014113,3525,GM0141,0.2746099290780142,0.16652482269503546
WK014114,3247,GM0141,0.22944256236526023,0.15244841392054204
WK014115,658,GM0141,0.5030395136778115,0.33586626139817627
WK014116,2878,GM0141,0.32870048644892286,0.22237665045170257
WK014117,2010,GM0141,0.18059701492537314,0.09751243781094528
WK014118,5196,GM0141,0.270977675134719,0.16820631254811394
WK014119,7779,GM0141,0.2209795603548014,0.13330762308780048
WK014120,1003,GM0141,0.2761714855433699,0.1794616151545364
WK014121,1243,GM0141,0.16572807723250202,0.10217216411906678
WK014700,14416,GM0147,0.16627358490566038,0.10710321864594895
WK014701,1249,GM0147,0.1465172137710168,0.09207365892714171
WK014801,10559,GM0148,0.10749123970072924,0.0585282697225116
WK014802,6003,GM0148,0.1882392137264701,0.1082791937364651
WK014803,2818,GM0148,0.15294535131298795,0.08907026259758694
WK015001,6983,GM0150,0.11399112129457253,0.05627953601603895
WK015002,1468,GM0150,0.11580381471389646,0.06335149863760219
WK015003,5117,GM0150,0.18448309556380693,0.1172562048075044
WK015004,4270,GM0150,0.16744730679156908,0.10866510538641687
WK015005,2600,GM0150,0.17192307692307693,0.09961538461538462
WK015006,5624,GM0150,0.17834281650071124,0.11842105263157894
WK015007,2936,GM0150,0.16416893732970028,0.09809264305177112
WK015008,3318,GM0150,0.1751054852320675,0.10488245931283906
WK015009,4452,GM0150,0.12713387241689128,0.07412398921832884
WK015010,7381,GM0150,0.17125050806123832,0.10107031567538274
WK015011,3357,GM0150,0.08132260947274352,0.04706583258862079
WK015012,3180,GM0150,0.12547169811320755,0.07830188679245283
WK015013,374,GM0150,0.12566844919786097,0.07219251336898395
WK015014,876,GM0150,0.06506849315068493,0.02511415525114155
WK015015,2737,GM0150,0.10668615272195835,0.0577274388016076
WK015300,11827,GM0153,0.1521095797750909,0.07660437980891181
WK015301,9288,GM0153,0.2524763135228251,0.15030146425495264
WK015302,10257,GM0153,0.27542166325436285,0.16457053719411133
WK015303,4608,GM0153,0.2749565972222222,0.1775173611111111
WK015304,10806,GM0153,0.14232833610956877,0.07754950953174163
WK015305,5518,GM0153,0.2218194998187749,0.1310257339615803
WK015306,14030,GM0153,0.26928011404134,0.16029935851746258
WK015308,7971,GM0153,0.34813699661272113,0.23409860745201355
WK015309,7439,GM0153,0.21346955235918808,0.12313482995026213
WK015800,5613,GM0158,0.19632994833422412,0.12292891501870658
WK015801,2901,GM0158,0.1878662530162013,0.11065149948293691
WK015802,1071,GM0158,0.22128851540616246,0.13725490196078433
